古代帝王的女婿，也就是公主的丈夫通常被称为什么爷	驸马爷
我国东北地区有“共和国钢都”之称的是辽宁省的哪座城市	鞍山
哪个影集销量最好	http://www.cr173.com/soft/35345.html 简单易用 这个好像功能
运动员为了提高成绩而违法服用的禁药统称为什么	兴奋
《祝你一路顺风》是哪位台湾歌手的作品	吴奇隆
2001版电视剧《康熙王朝》中，饰演成年康熙皇帝的是我国哪位著名男演员	陈道明
杜成义是哪位新加坡男歌手的原名	阿杜
欧洲的哪座城市举行了世界气候变化大会	很有名的城市哥本哈根
首位登上美国奥斯卡金像奖颁奖典礼献唱的华语歌手是哪一位	李玟 / Coco
王心凌歌曲《睫毛弯弯》中“睫毛弯弯”的下一句是什么	眼睛眨呀眨
普通白炽灯的发光光强是多大	发光原理: PN结的端电压构成一定势垒,当加正向偏置电压时势垒下降,P区和N区的多数载流子向对方扩散
着有《小时代》《悲伤逆流成河》等作品的“80后”作家是谁	郭敬明
我们平时所说的“北电”是我国那个电影类专业艺术院校的简称	北京电影学院
我国长江流域和黄河流域的分水岭是什么	秦岭
以其独特的雪景而著名的日本最北边的岛屿是哪个	北海道
我们通常把紧急抢救时嘴对嘴吹气的急救方式称为什么	人工呼吸
每次射精会有多少精子	一组男性正常性生理数据
电视剧《上海滩》，冯程程的父亲，上海青帮最大头目叫什么	冯敬尧
五线谱中表示降半音是用哪个小写字母表示	首先,搞懂升号是#,降号是.哪个音需要升半音就在那个音符前面加个#,哪个音需要降半音就在那个音符前面加个&#9
我们说的“小电驴”指的是哪种常见交通工具	电瓶车
有“咖啡王国”之称的是南美洲的哪个国家	巴西
俗语说“酒香不怕什么深”	说实话,在这什么都是“速成”的时代是行不通,就算酒香不怕巷子深,可是要让酒挥发出香味也是需要时间的
电影《盗梦空间》中，莱昂纳多饰演的主角用来分辨真实与梦境的道具是什么	陀螺
电视剧《风云》中，何润东扮演的是步惊云，那么聂风是由谁扮演的	赵文卓
被称为“钢琴之王”的是匈牙利哪位音乐家	A 著名的匈牙利作曲家、钢琴家、指挥家,伟大的浪漫主义大师,是浪漫主义前期最杰出的代表人物之
俄罗斯著名运动员伊辛巴耶娃是哪个项目的杰出运动员	俄罗斯著名运动员伊辛巴耶娃是撑杆跳高项目的杰出运动员
户枢不蠹的不蠹是什么意思	蠹是蠹虫. ,是古代专咬器具的虫子. 不蠹就是不会被蠹虫咬,不生虫,不会腐烂的意思
王昌龄的古诗“但使龙城飞将在”的下一句是什么	这是唐代王昌龄的一首七言绝句. 出塞 【唐】 王昌龄 秦时明月汉时关, 万里长征人未还. 但使龙城飞将在, 不教胡马度阴山.赏析:这是一首著名的边塞
你去年又是多大年纪	Just as usual, my parents and I would enjoy a traditional Chinese Spring Festival this winter holiday. We would go visit our relatives and
西部电影中常出现的单词“cowboy”是什么意思	Western cowboy cowboy ( cowboy ) is introduced, and the Americans called cowboy. We for a cowboy ( West Cowboy ) understanding, are mostly
瑞星杀毒软件的标志是什么动物	瑞星杀毒软件的标志,是一只雄狮子的头部特写,鬃毛扩散呈盾牌状
俗话说“普天之下”的下一句是什么	莫非王土
“孔融让梨”出自中国哪部国学启蒙读物	三字经
《倚天屠龙记》中，倚天剑和屠龙刀的铸造者是哪对夫妇	郭靖和黄蓉
地壳中含量最多的元素是什么元素	氧、硅、铝、铁、钙含量前五位.这个要记住的
俗话说“有则改之”的下一句是	吃一堑"的下一句是(长一智 ) "有则改之"的下一句是(无则加勉 )
比尔.盖茨的房子有多少平方英尺	66000
与淘宝整合在一起，买家与卖家沟通的聊天软件是什么	阿里旺旺
金庸小说中的“降龙十八掌”的最后一招是什么	我博客里写过这个专题.详细看 降龙十八掌，至刚至阳，刚猛无双；一招亢龙有悔，退无可退，让无可让，震惊百
伽利略做“自由落体实验”的比萨斜塔位于欧洲的哪个欧洲国家	意大利
吃富含哪种维生素的食物有延缓衰老，是皮肤保持白皙的功效	维生素E
杜牧的《过华清宫绝句》一骑红尘妃子笑的下一句是	无人知是荔枝来
NBA总决赛采用几战几胜的赛制	2015nba总决赛采用2-2-1-1-1赛制
陆地地形分为五大类，有山地、丘陵、高原、平原和什么	陆地表面的地形多种多样,人们通常把陆地地形分为平原、高原、山地、丘陵和盆地五种基本类型
赵云的“赵”字在繁体字中，是“走”字边加上一个什么字组成	肖 肖
如果让你来解决你会采取哪些措施	如何使外来人口融入当地社会的工作及生活圈,使其安居乐业,始终是一个世界性的难题
我们通常用哪两个英文字母表示数码摄像机	DV 表示数码摄像机
佛教中的十恶最后一恶是什么	一、杀 杀谓杀害生命
北京都有什么主要的景点	以天安门广场为主线,游览天安门城楼,参观人民英雄纪念碑、毛泽东纪念堂、人民大会堂、历史博物馆、故宫、中山公园、景山公园、北海公园
卧龙先生是谁	诸葛亮
名句“山外青山楼外楼，西湖歌舞几时休”讽刺的是哪个朝代的统治者	南宋 南宋
疯牛病最早出现在哪个国家的牛身上	英国 的牛身上
2010—2011欧洲冠军联赛花落谁家	巴塞罗那
1978年在安徽哪个村实施的“包产到户”制拉开了改革开放的序幕	小岗村 第二轮 于文汇PK王鹏杰
奥斯陆是哪个欧洲国家的首都	奥斯陆,是挪威的首都和最大城
在海子的诗中，“从明天起，做一个幸福的人”指的是“喂马，劈柴”和什么	《面朝大海,春暖花开 》 文/海子 从明天起,做一个幸福的人 喂马,劈柴,周游世界 从明天起,关心粮食和蔬菜 我有一所房子,面朝大海,春暖花开 从明天
上海证券交易所股票交易所大厅的交易员会穿什么颜色的马甲	红马甲是指证券交易所内的证券交易员,因穿红色背心而得名
法国在2002年欧元发行之前的使用的法定货币的单位是什么	单位是 法郎
歌曲《闪闪惹人爱》收录于萧亚轩的哪一张专辑	《钻石糖》
经典名歌《乌苏里船歌》中唱到的乌苏里江，是中国和哪个国家的界河	俄罗斯
通常家用电器上“off”表示的是什么意思	on,开通的意思,off,关闭的意思,但在断路器上就是反向的,你可以逆向理解的,主要看用在哪
商店中碰到这样的符号“$”，表示要用什么币种付款	美元
张柏芝于2001年第一次公开的圈内男朋友是哪位香港偶像男歌手	陈晓东
因长期间对刘翔进行跟踪采访而被大家熟知的蒙古族体育记者是谁	冬日娜
泰格伍兹是四大绅士运动中哪一类的著名运动员	高尔夫球
白居易的《暮江吟》中，“可怜九月初三夜”的下一句是什么	露似珍珠月似弓
白血病可以通过移植身体内的什么组织来治疗	骨髓
白炽灯用久了为什么会发黑	灯泡使用时,钨丝在高温下升华为钨蒸气,关灯后,温度降低,钨蒸气凝华为粉末状的细小钨颗粒附着凝结在灯泡壁上,时间长久就会变黑
《史记.高祖本纪》中说道，“运筹帷幄之中”的下一句是什么	决胜千里之外
乐器唢呐上有几个孔	唢呐又名喇叭，小唢呐又称海笛
诸葛亮隐居隆中时，常自比管仲和哪位历史人物	乐毅
刚生完孩子的产妇腹壁上的皱纹被称为什么	妊娠纹
这个三角形面积大概能有多少	12
未来几年的交通工具会是什么样子	地铁和公交车为主,要是往空中发展的话空间不够,全球人口太多,而且控制困难,能源也是一大难题,停车位就不
鸟以多快的速度飞行	蜂鸟的飞行本领高超,可以倒退飞行,垂直起落,甚至可以在空中静止4~5分
世界上最重要的IT高科技产业基地硅谷位于美国的那个州	加利弗尼亚州
《新婚别》《无家别》《垂老别》是哪位唐代诗人的经典作品	杜甫
记载中“以舟为梁”，其“梁”可以认为是古代桥梁的雏形吗	建造船来搭成浮桥,不也能显示他的荣耀吗
经典港剧《义不容情》的主题歌是已故歌手陈百强演唱的那首歌	《一生何求》
通常英语缩写“Jul”代表的是几月份	七月
清朝在位皇帝顺序中，康熙前一位皇帝是谁	前一位皇帝是 顺治
世界名著《傲慢与偏见》的作者是哪位英国作家	简·奥斯丁
国际红十字会旗帜是什么形状	正方形
《战争与和平》是俄国哪位作家的著作	列夫托尔斯泰(ЛевНиколаевичТолстой) 他有作品:<<复活>> 《战争与和平》 等
“六畜兴旺”中的“六畜”是指猪、牛、马、羊和另外哪两种动物	狗鸡
五脏六腑的五脏是指什么哪五脏	中医学根据五脏在人体中的不同作用和特性，将五脏和五行一一对应，发展出了中医五行学说
电视剧《武林外传》中“李大嘴”使从事什么职业的角色	厨师
小说《钢铁是怎样炼成的》中，林务官的女儿，保尔的初恋情人是哪个女孩	在河边吧,我只知道保尔是在钓鱼时认识了她
相传秦始皇因为渴望长生不老，派谁出海寻找仙药，却最终一去不返	徐福
黄山在我国什么省份	黄山在哪个省份?黄山大概是横跨了三个省吧
打足了气的自行车胎在烈日下容易爆胎是因为哪种物理现象	热胀冷缩
凹凸的“凸”字是多少笔画	两个字笔画数都是五画
夫子庙始建于宋，位于什么河北岸的贡院街旁	秦淮河
毛主席的名句“谁敢横刀立马，唯我彭大将军！”中的彭大将军指的是谁	彭德
江西省的简称是因为哪条江而得名	赣江
中国四大发明中的造纸术是由东汉哪位著名人物改进的	蔡伦
日本动漫《圣斗士星矢》中，青铜五战士中的一辉的弟弟叫什么名字	一辉的弟弟叫 阿顺
上海座机区号加上电话号码一共是多少位	11
电影《康熙王朝》中，康熙的饰演者是哪位男演员	陈道明
树上春树的哪一本春天恋爱小说，与披头士一首逸闻世界的歌曲同名	挪威的森林
理性纯洁的精神恋爱又被人们称为哪位哲学家式的爱情	柏拉图
成语“送君千里”的下一句是	终须一别
第一次世界大战是什么时候爆发的	第一次世界大战爆发的时间是1914年6月28日
经典电影《菊次郎的夏天》由哪位日本明显自编自导自演的	北野武
世界短跑名将尤赛恩.博尔特是哪国人	牙买加啦
能使淀粉变成蓝黑色的是什么	碘.高温可以使络合物分解，但温度要足够高才
云南著名的西双版纳是哪个少数民族的聚居区	傣族 的聚居区
草蜢乐队的经典歌曲《失恋阵线联盟》是20世纪90年代哪部台湾经典电视剧的主题曲	是《家有仙妻》
《少年游》《心太软》是哪位男歌手的代表作	?任贤齐
每天工作中最烦的事情有哪些	态度问题,工作心态不好,对人或是工作有抵触
香港演员徐濠萦是哪位香港歌手的妻子	陈奕迅
唐朝时高僧鉴真六次出访传播佛教的对象是如今的哪个国家	日本
香港演员利智是哪位华人功夫巨星的妻子	李连杰
接吻时你觉得对方的口水是什么味道	刚吃过东西会有味道,对方身体状况不好的话会有点臭,如果一切都好且没有口臭的毛病,会是有一丝甜甜的味道,很舒服的
80年代电视剧《霍元甲》主题曲叫什么	本来的电视剧名和歌名就叫《大侠霍元甲》,现在香港依然用这个剧名和歌名,香港丽的电视台(现在的“亚视”)1981年制作
马拉松长跑全程有多远	马拉松(Marathon)长跑是国际上非常普及的长跑比赛项目,全程距离26英里385码,折合为42.195公里(也有说法为42.193公里).分全程马拉松(Full Marathon),半程
